n 		 spin_accpt		Ecalc		 Mabs_calc
1921		201870		-502.921395		202.380010
1931		197249		-509.518384		210.665976
1941		214984		-488.063885		174.171046
1951		227209		-472.020502		139.535623
1961		219176		-483.755227		164.276390
1971		220017		-484.773212		156.472856
1981		219994		-486.194851		156.466431
1991		211940		-497.868408		190.385736
2001		213977		-495.672164		197.428286
2011		218042		-493.388364		172.131278
2021		223392		-487.889164		167.673429
2031		222717		-490.396849		179.843427
2041		222801		-491.596276		184.867222
2051		228470		-484.113116		175.372014
2061		225501		-490.385250		168.445415
2071		231715		-483.136649		163.373250
2081		224370		-494.842864		188.930322
2091		219139		-502.636059		194.684840
2101		223599		-498.090433		194.138981
2111		230644		-490.387494		176.348650
2121		241008		-479.219236		156.657237
2131		229519		-496.191459		185.694979
2141		223727		-504.345633		207.255488
2151		229923		-495.685728		192.343096
2161		232385		-495.063397		185.490051
2171		231216		-497.973284		187.343160
2181		230049		-501.133425		205.150848
2191		246852		-481.648562		151.103606
2201		236955		-494.500682		189.010450
2211		252071		-479.298055		150.034374
2221		241940		-491.945970		170.156686
2231		239071		-496.462573		177.899597
2241		234279		-503.719768		200.579206
2251		257814		-476.973789		130.228343
2261		238636		-501.151703		195.702786
2271		247295		-491.591369		173.379128
2281		244177		-497.515125		175.679088
2291		245401		-496.511567		190.862505
2301		259686		-480.215558		157.170795
2311		253922		-489.187365		170.525314
2321		250395		-494.762602		176.062904
2331		262817		-481.429429		159.799228
2341		230737		-519.704400		221.274669
2351		256109		-490.863462		171.179923
2361		270063		-477.155443		140.027954
2371		261843		-487.269507		155.291438
2381		265913		-484.475430		151.359933
2391		259883		-492.090339		170.025094
2401		256012		-497.102874		194.704706
2411		263024		-490.835338		173.963501
2421		271156		-483.800083		150.156960
2431		251651		-505.064582		211.952283
2441		263036		-494.789021		185.554281
2451		268254		-490.082415		168.453692
2461		248126		-512.513612		218.368956
2471		261309		-500.608660		195.901255
2481		274402		-487.701733		175.982265
2491		268260		-494.736251		174.658370
2501		261504		-502.712515		195.824070
2511		280402		-483.835922		157.718837
2521		270965		-494.948036		178.808409
2531		271430		-495.785065		179.074674
2541		272519		-495.518300		195.478945
2551		278494		-491.172089		170.625637
2561		286902		-484.774697		160.885592
2571		269115		-503.091404		195.288215
2581		278440		-494.506005		179.256102
2591		291156		-482.162871		146.535701
2601		278678		-495.780085		186.302191
2611		284182		-491.212562		177.472233
2621		276909		-500.973674		186.511255
2631		285990		-491.952870		183.585709
2641		305304		-473.407043		130.545248
2651		288074		-492.389287		179.211618
2661		287563		-493.366404		176.851560
2671		283289		-499.883190		188.387121
2681		293712		-490.139500		176.813129
2691		294778		-490.189521		168.500929
2701		293158		-492.681229		183.375787
2711		284792		-501.898930		202.438215
2721		277669		-509.869901		209.562661
2731		296794		-491.992677		178.659832
2741		308055		-482.480846		153.754834
2751		292650		-498.666667		193.145038
2761		289670		-501.492213		200.738863
2771		308338		-485.291952		172.077228
2781		304400		-490.376124		181.662711
2791		292112		-503.068434		195.532784
2801		306521		-491.086041		178.868261
2811		293275		-504.391320		207.356813
2821		304171		-493.914215		193.232896
2831		328617		-471.432003		129.458848
2841		305551		-496.047870		179.832453
2851		323185		-480.450368		157.608558
2861		310115		-492.508913		176.805313
2871		314764		-489.793103		170.470916
2881		310638		-494.368622		180.422076
2891		310511		-495.934971		186.108613
2901		318799		-489.478111		171.834540
2911		326237		-483.130196		142.195122
2921		327021		-484.005478		156.846970
2931		304883		-504.322074		204.471511
2941		323518		-488.084325		174.937096
2951		317042		-495.468655		189.844121
2961		307993		-504.391760		194.143870
2971		325864		-489.534837		178.314372
2981		330691		-486.000671		157.121771
2991		322309		-494.425945		181.708459
3001		324765		-494.151283		179.989337
3011		322533		-496.389239		178.409831
3021		341938		-480.578616		159.089043
3031		311490		-507.729462		208.973936
3041		314932		-505.439000		206.611641
3051		326074		-496.873156		181.183874
3061		328019		-496.056191		188.370467
3071		330203		-496.117226		177.974601
3081		339024		-488.689387		167.175592
3091		343849		-485.508897		162.680039
3101		333565		-495.195098		181.177040
3111		317662		-509.692060		204.951463
3121		351845		-481.165011		149.030439
3131		343662		-489.461514		174.488023
3141		348793		-486.315186		166.597899
3151		334131		-499.351317		193.584259
3161		340465		-495.011705		176.391016
3171		346501		-491.442447		167.258909
3181		353753		-486.335115		161.043697
3191		350636		-488.171733		158.171733
3201		352996		-488.243674		163.054670
3211		357204		-485.928371		164.559327
3221		337928		-503.516920		193.474076
3231		345739		-496.649954		188.490870
3241		350293		-493.919161		173.922863
3251		355671		-490.918487		170.042448
3261		351926		-494.098743		178.686293
3271		351531		-495.485173		175.081626
3281		363534		-486.558976		164.749771
3291		353268		-496.728046		195.390459
3301		357296		-493.771584		169.687973
3311		357833		-494.354576		183.028088
3321		358095		-495.042457		188.122855
3331		364347		-490.936055		170.795557
3341		370904		-486.360970		169.385813
3351		375604		-482.552074		159.259922
3361		349700		-504.573639		193.027670
3371		355219		-500.980125		194.118659
3381		363819		-495.453416		179.865129
3391		355467		-501.804777		210.011206
3401		373244		-489.265510		165.594237
3411		373991		-490.018176		172.391088
3421		371948		-492.311020		165.335867
3431		383013		-483.874089		163.537744
3441		372864		-493.547225		174.019762
3451		378975		-488.805564		172.850768
3461		381993		-486.957527		165.203120
3471		361380		-503.679631		193.531547
3481		380391		-490.098248		178.331514
3491		369506		-500.249785		184.467488
3501		374186		-496.906027		195.614396
3511		364842		-505.131302		201.340359
3521		375550		-497.288270		190.670264
3531		395819		-482.974795		153.017842
3541		367613		-505.236939		207.181022
3551		374372		-501.442974		197.439594
3561		403553		-479.122718		145.628756
3571		379591		-498.243629		192.271633
3581		390869		-491.385646		180.337894
3591		389671		-492.695071		170.236146
3601		390056		-493.506248		173.898362
3611		377709		-503.641097		200.686790
3621		396138		-489.799503		175.352665
3631		392359		-494.216469		177.799504
3641		403393		-488.062620		158.324087
3651		374354		-508.726376		213.183785
3661		384366		-501.775471		204.489484
3671		414968		-480.387905		151.486788
3681		390640		-500.632437		197.190981
3691		403375		-490.034137		176.451910
3701		383437		-505.638476		205.194272
3711		417454		-482.191323		153.905686
3721		389915		-502.719699		200.039774
3731		393324		-500.468507		199.459126
3741		402281		-495.624699		179.144079
3751		389062		-506.484671		213.627833
3761		413225		-489.786759		170.833289
3771		399910		-498.501193		184.661893
3781		394508		-503.935467		193.927532
3791		405901		-496.666843		183.824848
3801		408356		-495.408577		183.661668
3811		423072		-486.128575		166.977171
3821		414588		-493.214342		176.621827
3831		395680		-506.014096		208.668233
3841		418098		-492.058318		176.876855
3851		393767		-509.716957		214.383796
3861		428023		-486.211862		160.738669
3871		416125		-495.412038		183.244640
3881		420813		-493.372842		179.925277
3891		414689		-498.208173		192.647648
3901		422476		-494.329659		187.034094
3911		429669		-489.180261		174.010228
3921		421334		-494.463657		180.251977
3931		417790		-497.704401		185.296871
3941		430437		-490.268460		170.800304
3951		423947		-496.271324		193.214376
3961		419496		-500.494825		196.206009
3971		430356		-493.480735		181.330647
3981		415627		-503.575986		201.793017
3991		441892		-485.959409		169.371085
4001		429002		-496.379905		187.099225
4011		439340		-490.640738		175.806532
4021		425843		-499.459836		194.896792
4031		417531		-505.915158		209.352022
4041		464818		-475.109131		138.401881
4051		449343		-486.247346		165.907183
4061		425703		-502.321596		187.457277
4071		444658		-489.281258		176.888725
4081		437083		-496.394021		189.098750
4091		448109		-489.882180		170.760205
4101		442176		-494.271641		182.651061
4111		443008		-494.907322		190.248115
4121		449468		-491.690366		181.209415
4131		445179		-494.424595		181.740499
4141		475925		-475.708283		139.966675
4151		433054		-504.020236		198.649964
4161		449691		-493.770728		180.690699
4171		450643		-494.865500		185.286023
4181		432512		-506.439608		205.461851
4191		458882		-490.510141		170.435218
4201		444323		-499.537253		194.204237
4211		463457		-488.670625		171.463785
4221		456581		-493.495380		176.183369
4231		454054		-495.396833		188.198062
4241		435858		-507.498232		209.145956
4251		461313		-493.171489		179.383674
4261		450958		-500.459047		194.676367
4271		460284		-494.356357		179.236713
4281		476446		-484.976407		162.621817
4291		445117		-505.696574		202.115125
4301		461619		-495.851197		187.628458
4311		470619		-491.469265		175.365344
4321		472239		-490.883592		173.947234
4331		465946		-495.108751		183.642577
4341		464642		-496.222069		190.825155
4351		481360		-486.951965		158.922087
4361		483538		-486.587480		161.894978
4371		483302		-486.791123		161.606955
4381		474097		-493.523853		179.865328
4391		490041		-484.433614		151.830107
4401		477319		-492.700750		169.609180
4411		467234		-498.822036		191.078667
4421		476330		-495.708663		184.713866
4431		474365		-496.718574		188.477545
4441		484423		-491.047962		177.153794
4451		473093		-498.690631		187.910133
4461		492563		-487.146380		167.402824
4471		477625		-496.898233		191.583986
4481		492303		-488.891765		165.451908
4491		493294		-488.931641		166.912492
4501		494401		-488.897578		172.424350
4511		499608		-486.839282		166.833075
4521		484866		-496.071666		181.381553
4531		498599		-488.808652		163.054955
4541		508939		-483.585113		154.746972
4551		497315		-490.385410		171.461657
4561		503746		-488.149967		173.980706
4571		502104		-488.925837		166.058193
4581		507623		-487.401004		164.654442
4591		493683		-495.504247		189.760836
4601		499174		-492.338187		172.362530
4611		496871		-495.000651		184.789417
4621		509934		-487.420039		168.988963
4631		490274		-500.078601		190.979486
4641		527111		-479.041586		147.463047
4651		508214		-490.469146		176.632122
4661		485630		-503.886720		199.715512
4671		523765		-483.567544		150.426461
4681		495247		-499.768426		191.807306
4691		510724		-491.427841		175.408229
4701		516180		-489.730696		170.918103
4711		495923		-502.016557		190.582042
4721		524686		-484.725270		155.901292
4731		513179		-493.107588		182.746565
4741		512584		-493.956549		180.070027
4751		505800		-498.313618		187.811408
4761		513394		-494.726318		186.427641
4771		517359		-492.577657		176.277510
4781		535447		-483.477097		156.248065
4791		501922		-502.847005		193.380505
4801		521595		-491.550094		172.604874
4811		527581		-489.445022		168.586572
4821		530972		-487.937772		160.170504
4831		508510		-500.825502		193.840613
4841		525511		-493.052675		176.642842
4851		512754		-500.134405		197.212946
4861		523000		-495.083316		177.918947
4871		536407		-488.526381		171.617738
4881		513218		-501.884860		195.967630
4891		520224		-497.809037		191.655285
4901		524113		-497.678841		182.110590
4911		520439		-499.656282		189.411932
4921		527193		-496.787645		188.376753
4931		521364		-500.098155		193.802474
4941		523093		-499.331309		190.609998
4951		542895		-489.731367		170.574833
4961		530725		-496.462004		189.612175
4971		544385		-489.930396		177.968618
4981		539635		-493.114636		179.085726
4991		534887		-496.621118		186.767381
5001		561735		-482.945811		162.229954
5011		561307		-484.209140		150.686490
5021		542623		-494.315077		182.875921
5031		525720		-503.827470		196.988670
5041		525577		-504.395160		207.753224
5051		555536		-488.917838		174.477925
5061		544440		-495.389054		187.716262
5071		543793		-495.585092		179.248275
5081		561284		-487.780358		161.185200
5091		545333		-496.926341		179.103516
5101		530873		-505.211527		206.103901
5111		550955		-494.127959		181.178634
5121		550901		-495.479789		178.929506
5131		542626		-500.890275		195.316702
5141		554769		-494.744213		186.776503
5151		554684		-495.195496		183.523976
5161		568209		-488.451075		163.174966
5171		556024		-494.984336		186.850899
5181		561717		-493.308628		178.929164
5191		551419		-498.666924		194.845309
5201		565687		-491.987695		178.980965
5211		561140		-494.792554		176.958741
5221		556559		-498.201877		191.554491
5231		550827		-500.835022		194.912636
5241		572046		-491.635947		178.398779
5251		571624		-491.410398		176.895829
5261		574580		-490.639802		169.043148
5271		562180		-497.488902		181.177386
5281		561248		-499.013066		195.444045
5291		577513		-491.275751		173.259875
5301		586330		-487.290700		170.802867
5311		574488		-493.476935		180.859725
5321		583124		-489.945499		175.183236
5331		559316		-503.015569		202.368786
5341		587701		-489.326343		170.394308
5351		598484		-483.783966		160.777051
5361		590768		-488.529006		167.836225
5371		570931		-498.352635		189.678645
5381		574955		-496.235644		189.852815
5391		581136		-494.728251		185.067334
5401		585233		-493.437512		181.635623
5411		587807		-492.329699		168.475328
5421		579877		-496.595462		190.412101
5431		589762		-492.549438		179.976063
5441		580789		-497.354163		188.303988
5451		567114		-504.436617		210.376812
5461		569081		-503.987548		194.910456
5471		598826		-490.023762		171.422409
5481		589801		-495.982485		187.479657
5491		591432		-494.853396		181.612093
5501		595255		-494.578440		182.779858
5511		579691		-501.307204		200.835420
5521		583895		-500.396305		186.944394
5531		599354		-493.539685		178.139577
5541		585206		-500.987547		192.342177
5551		614936		-486.326067		165.845794
5561		607763		-489.771624		171.373494
5571		588255		-500.392030		196.089032
5581		622369		-484.810607		165.142089
5591		605423		-492.802719		183.852978
5601		611067		-490.851634		174.158543
5611		614843		-489.421493		173.390127
5621		608801		-492.764988		180.708059
5631		617777		-489.537205		171.591192
5641		617106		-489.885481		168.846658
5651		610963		-493.830472		177.747301
5661		601119		-498.410881		190.572337
5671		613297		-493.594075		176.652442
5681		591806		-503.463475		197.231121
5691		637207		-483.861536		152.992444
5701		627559		-488.637081		167.874759
5711		635344		-485.043600		157.423218
5721		623221		-491.800035		172.965216
5731		608452		-498.752748		191.594137
5741		610564		-498.841317		192.822156
5751		618688		-495.210572		190.018084
5761		607331		-501.541399		186.590175
5771		617947		-496.097037		191.067406
5781		598398		-506.227988		205.339907
5791		658430		-478.628907		149.240546
5801		609635		-502.072746		197.557662
5811		618948		-497.322320		192.894166
5821		635698		-491.009105		178.343240
5831		615005		-500.220888		188.976162
5841		628212		-495.155624		180.324944
5851		642273		-489.346095		168.917450
5861		640923		-490.860263		175.752943
5871		618424		-501.157554		194.638392
5881		637399		-492.964462		175.916681
5891		659875		-483.189272		158.105924
5901		650162		-488.667683		169.729537
5911		641956		-492.601590		176.242937
5921		629320		-498.865057		187.895626
5931		632191		-497.732591		183.762603
5941		628317		-499.940751		194.580037
5951		639364		-495.742564		187.892791
5961		618885		-505.654085		205.920148
5971		639334		-496.488360		182.588846
5981		650199		-492.219361		174.425013
5991		649307		-492.939409		182.380905
6001		647639		-494.236961		186.612565
6011		627616		-503.508235		200.148062
6021		667322		-486.476665		167.757848
6031		660291		-490.069309		177.140109
6041		661377		-489.892402		165.801357
6051		680664		-482.039332		151.666832
6061		659275		-492.001980		169.224550
6071		666397		-489.964092		174.830835
6081		660368		-493.473442		177.842789
6091		659327		-494.242653		177.595797
6101		668773		-489.511883		168.819538
6111		658323		-494.504991		182.767468
6121		643618		-501.804934		198.499592
6131		666152		-491.979775		179.140760
6141		652923		-498.737665		192.012702
6151		677268		-488.189238		171.327589
6161		666328		-493.607531		173.289726
6171		652081		-500.934695		198.323124
6181		679682		-489.643100		171.168419
6191		673058		-492.100791		176.272008
6201		665585		-495.564586		186.049347
6211		663297		-497.665432		190.873611
6221		676614		-492.213471		175.632535
6231		680777		-490.981865		175.941582
6241		666471		-497.954174		189.639481
6251		684005		-490.439290		172.075188
6261		670089		-496.479157		186.763456
6271		683164		-492.422261		174.226758
6281		677267		-494.320650		182.277663
6291		665513		-500.321729		184.708313
6301		675894		-495.880654		180.410728
6311		672637		-498.042149		185.725559
6321		668431		-500.453093		195.718399
6331		670425		-499.608909		192.197125
6341		674538		-498.472165		188.645955
6351		677968		-498.186742		190.176035
6361		696977		-490.173872		170.491747
6371		689058		-493.616701		184.500706
6381		695695		-491.470302		179.575615
6391		691682		-493.493976		171.093413
6401		696393		-492.057491		178.062178
6411		688824		-494.974263		182.264545
6421		681929		-499.086747		189.411307
6431		684069		-498.725548		187.268854
6441		693978		-494.738705		181.667132
6451		688256		-496.868082		192.116261
6461		706245		-489.895063		173.697880
6471		711121		-489.184979		170.436100
6481		700196		-494.051535		174.100910
6491		696926		-495.941457		189.508550
6501		688824		-499.246885		186.811875
6511		708583		-491.421287		170.726156
6521		696230		-497.870879		185.188161
