n 		 spin_accpt		Ecalc		 Mabs_calc
21		2341		-312.761905		60.47619
21		2496		-332.952381		64.761905
21		2637		-354.095238		69.904762
21		2747		-376.761905		74.666667
21		2861		-397.904762		79.428571
21		2981		-420.571429		84.190476
22		256		-10.363636		3.181818
22		453		-25.090909		6.818182
22		607		-40.909091		10.636364
22		798		-57.454545		14.181818
22		952		-75.818182		18.818182
22		1082		-95.272727		26.181818
22		1209		-113.272727		31.818182
22		1348		-133.818182		38.818182
22		1493		-152.545455		45.727273
22		1627		-172.181818		52.818182
22		1755		-192.727273		61
22		1876		-214		70.181818
22		2010		-233.090909		78.818182
22		2151		-254.181818		88.272727
22		2277		-273.818182		98.454545
22		2404		-296.181818		110.181818
22		2511		-318.545455		123.090909
22		2596		-344.181818		137
22		2683		-367.090909		148.818182
22		2766		-390.909091		161.090909
22		2842		-418.363636		173.909091
22		2905		-444.363636		186.636364
23		256		-10.608696		4.086957
23		452		-24		7.652174
23		626		-39.478261		8.26087
23		769		-54.782609		8.956522
23		949		-67.826087		9.652174
23		1118		-82.434783		10.26087
23		1288		-97.565217		10.347826
23		1435		-112.521739		11.043478
23		1583		-129.73913		12.956522
23		1734		-146.434783		15.478261
23		1875		-166.086957		16.347826
23		1978		-184.869565		18.695652
23		2100		-205.217391		21.565217
23		2221		-224.695652		24.695652
23		2345		-245.217391		26.434783
23		2469		-265.565217		27.478261
23		2596		-284.869565		28.956522
23		2725		-304.521739		29.130435
23		2856		-323.478261		30.086957
23		3008		-342.434783		31.043478
23		3124		-362.26087		32
23		3241		-382.782609		33.043478
23		3385		-401.391304		34.086957
24		228		-10.333333		1.333333
24		411		-24.833333		2.25
24		584		-40.333333		4.416667
24		731		-54.833333		7.5
24		897		-69.833333		8.916667
24		1057		-85.5		11.333333
24		1205		-100.5		13.75
24		1359		-115		15.5
24		1534		-128.166667		15.666667
24		1695		-143.833333		15.75
24		1851		-160.166667		17.333333
24		2015		-177.333333		18.416667
24		2139		-194.833333		18.5
24		2268		-213.833333		19.166667
24		2380		-233.166667		20.666667
24		2510		-251.833333		23.166667
24		2643		-270.333333		25.25
24		2761		-289.666667		27.833333
24		2876		-308.166667		30
24		3005		-326.333333		32.416667
24		3125		-345.5		36
24		3255		-362.333333		40.416667
24		3412		-379.166667		44.75
24		3558		-394.833333		48.083333
25		226		-10.24		1.76
25		419		-22.4		3.76
25		584		-34.08		6.8
25		780		-46.88		10.32
25		957		-60.16		14.88
25		1107		-75.2		18.8
25		1247		-91.68		23.04
25		1383		-107.52		25.36
25		1524		-125.12		29.2
25		1639		-143.04		33.76
25		1760		-160		37.28
25		1894		-176.48		39.68
25		2041		-193.76		41.68
25		2178		-211.2		43.6
25		2325		-227.84		47.68
25		2472		-242.72		52.64
25		2624		-260.32		59.84
25		2738		-277.92		67.2
25		2848		-296.64		74.88
25		2999		-313.44		79.76
25		3120		-331.36		84.4
25		3234		-348.96		88.24
25		3361		-367.2		91.52
25		3470		-387.52		93.92
25		3561		-410.88		97.68
26		222		-5.384615		1
26		420		-16.769231		3.230769
26		585		-31.692308		5.538462
26		732		-46.923077		7.769231
26		876		-63.846154		9.692308
26		993		-80.923077		11.538462
26		1118		-98.769231		13.615385
26		1247		-116.615385		13.923077
26		1383		-132.923077		14.230769
26		1529		-147.538462		14.692308
26		1664		-164.307692		14.923077
26		1785		-181.846154		15.692308
26		1906		-199.230769		16.692308
26		2020		-217.230769		18.307692
26		2137		-234.153846		20.153846
26		2264		-251.076923		22.076923
26		2392		-267.692308		23.692308
26		2522		-285.230769		25.615385
26		2654		-302.769231		26.153846
26		2761		-321.076923		27.692308
26		2853		-339.538462		30
26		2966		-358.769231		33.769231
26		3089		-375.692308		37.307692
26		3208		-393.230769		40.769231
26		3341		-408.307692		42.615385
26		3485		-424.307692		43.230769
27		235		-8.888889		2.148148
27		402		-20.296296		3.481481
27		568		-33.777778		6
27		704		-48.148148		8.37037
27		835		-63.111111		11.851852
27		969		-77.925926		14.148148
27		1112		-91.851852		15.62963
27		1249		-108.296296		18.518519
27		1383		-123.111111		21.703704
27		1512		-139.555556		25.407407
27		1637		-154.666667		28.148148
27		1781		-169.481481		31.925926
27		1926		-184.444444		35.037037
27		2082		-198.962963		38
27		2230		-215.259259		40.074074
27		2376		-231.851852		42.444444
27		2515		-247.703704		44.592593
27		2649		-262.37037		45.851852
27		2784		-278.814815		46.592593
27		2928		-296		47.185185
27		3065		-310.518519		48
27		3180		-328.444444		49.62963
27		3298		-346.074074		50.962963
27		3405		-362.814815		52.814815
27		3527		-378.222222		53.777778
27		3644		-394.814815		55.111111
27		3768		-409.925926		55.259259
28		248		-10.857143		2.928571
28		423		-24.142857		5.5
28		568		-38		7.571429
28		722		-49.857143		9.642857
28		898		-63.714286		12
28		1050		-76.571429		14.642857
28		1192		-90.142857		17
28		1343		-103.142857		18.428571
28		1494		-118.428571		20.642857
28		1621		-133.142857		23.357143
28		1774		-146.142857		25.428571
28		1926		-160.428571		27.071429
28		2071		-174.857143		27.214286
28		2226		-190		29
28		2361		-205.285714		32.714286
28		2509		-218.714286		37.285714
28		2660		-232.714286		41.5
28		2811		-245.285714		45.928571
28		2961		-259.857143		51.071429
28		3099		-275.285714		56.214286
28		3236		-290.142857		61.857143
28		3371		-306.142857		67.571429
28		3481		-322.285714		73.571429
28		3600		-339.142857		80.642857
28		3737		-354.714286		87.642857
28		3878		-370.714286		95.285714
28		3992		-387.285714		103.071429
28		4121		-404		109.785714
29		263		-7.172414		1.241379
29		464		-17.655172		2
29		643		-28.413793		2.275862
29		819		-41.517241		3.241379
29		954		-54.758621		4
29		1077		-68.827586		4.551724
29		1198		-82.758621		5.310345
29		1344		-96.413793		5.517241
29		1471		-112.275862		6.482759
29		1591		-127.172414		7.448276
29		1718		-141.241379		7.931034
29		1847		-157.103448		9.310345
29		1965		-173.655172		11.517241
29		2078		-189.793103		13.241379
29		2198		-206.758621		15.241379
29		2298		-224		17.37931
29		2408		-241.655172		19.793103
29		2547		-257.793103		21.862069
29		2674		-274.62069		23.862069
29		2808		-289.37931		25.448276
29		2926		-304.965517		26.482759
29		3048		-321.103448		27.241379
29		3178		-337.37931		28
29		3279		-353.931034		29.655172
29		3409		-368.689655		30.758621
29		3526		-385.37931		31.793103
29		3633		-402.758621		32.068966
29		3745		-420.275862		32.896552
29		3861		-436.689655		33.172414
30		243		-9.333333		0.466667
30		421		-20.4		2.533333
30		553		-34.933333		6.2
30		711		-47.066667		9.2
30		863		-60.933333		13
30		993		-74.666667		17.333333
30		1121		-90.266667		21.266667
30		1238		-105.6		25.933333
30		1348		-120.933333		31.4
30		1469		-136.533333		37.066667
30		1599		-152.266667		41.666667
30		1699		-167.466667		45.2
30		1815		-184.133333		48.866667
30		1924		-200.8		53.666667
30		2030		-217.066667		57.266667
30		2154		-233.333333		61.933333
30		2264		-250.266667		65.933333
30		2396		-266.266667		68.733333
30		2534		-280.8		71.933333
30		2668		-295.2		74.466667
30		2784		-310.533333		76.466667
30		2905		-324.8		78.8
30		3038		-339.466667		81.333333
30		3164		-354.933333		84
30		3299		-369.866667		86.466667
30		3447		-384.933333		89.2
30		3576		-397.2		91.066667
30		3725		-410.533333		93.933333
30		3882		-424.133333		97.533333
30		4018		-437.6		100.466667
31		225		-8.516129		2.258065
31		390		-21.548387		6
31		505		-35.225806		10.193548
31		642		-49.806452		16.387097
31		771		-64.129032		22.903226
31		878		-79.612903		30.903226
31		970		-97.548387		39.806452
31		1050		-113.419355		47.548387
31		1160		-128.903226		55.032258
31		1278		-144		62.516129
31		1393		-160.129032		70.709677
31		1507		-175.612903		78
31		1640		-190.580645		85.225806
31		1764		-204.645161		92.451613
31		1893		-219.483871		99.870968
31		2008		-234.064516		107.354839
31		2116		-247.483871		114.064516
31		2263		-261.032258		121.483871
31		2397		-275.483871		129.032258
31		2517		-290.83871		136.322581
31		2608		-309.806452		145.612903
31		2690		-328.258065		155.032258
31		2777		-346.064516		163.483871
31		2860		-363.870968		172.258065
31		2936		-382.967742		181.548387
31		3012		-400.258065		190.064516
31		3098		-415.870968		198.83871
31		3186		-434.580645		208.129032
31		3271		-452.129032		216.709677
31		3384		-468.774194		224.580645
31		3477		-484.387097		232.387097
32		223		-7.25		1.375
32		395		-17		1.625
32		562		-26.875		1.8125
32		732		-38.25		2.625
32		879		-49.875		2.875
32		1042		-62.375		3.8125
32		1192		-77		4.375
32		1299		-93.375		4.5
32		1410		-109		4.5625
32		1526		-123.375		4.75
32		1647		-137.125		5.875
32		1773		-151.5		8.25
32		1900		-164.75		9.9375
32		2022		-178.25		10.625
32		2167		-191.25		10.75
32		2302		-204.5		10.9375
32		2436		-217.25		11.125
32		2563		-230.875		12
32		2678		-245.75		13.3125
32		2789		-260.25		15.5625
32		2913		-275.375		18.4375
32		3011		-290		21.5625
32		3129		-303.875		24.4375
32		3246		-317.875		28
32		3367		-333		32.75
32		3473		-349		37.5
32		3579		-363.375		41.75
32		3701		-377.5		46
32		3818		-393.25		50.3125
32		3919		-408.625		55.0625
