n 		 spin_accpt		Ecalc		 Mabs_calc
1921		209614		-491.333680		163.222280
1931		202552		-502.821336		190.853444
1941		209250		-494.977846		192.889232
1951		213934		-489.502819		179.109175
1961		203113		-505.619582		202.361040
1971		198031		-513.794013		223.838661
1981		211669		-497.015649		200.662292
1991		222871		-482.603717		161.736816
2001		209872		-501.979010		202.357821
2011		220733		-489.454003		166.160119
2021		222351		-489.812964		174.892627
2031		213292		-502.107336		198.839980
2041		220567		-494.890740		186.630083
2051		214258		-504.278888		197.637250
2061		224331		-491.074236		174.897623
2071		229992		-485.948817		158.901014
2081		211633		-511.354157		208.070159
2091		234566		-483.286466		150.990913
2101		220546		-502.040933		197.384103
2111		228140		-494.190431		186.378020
2121		222898		-502.478076		198.232909
2131		232950		-490.091037		172.851244
2141		226789		-499.755255		198.480149
2151		246243		-477.805672		145.819619
2161		228837		-499.274410		202.054604
2171		235622		-492.479042		180.690926
2181		226520		-505.337001		201.591930
2191		224871		-509.615701		215.726152
2201		233760		-498.562472		190.423444
2211		232251		-502.654003		203.609227
2221		240889		-493.844214		180.078343
2231		236328		-500.184671		196.848947
2241		239951		-495.528782		181.900937
2251		246586		-489.830298		178.167037
2261		257026		-478.662539		156.718266
2271		246374		-492.961691		186.774989
2281		247062		-493.146865		187.739588
2291		251164		-490.236578		178.696639
2301		246165		-496.342460		179.176010
2311		249949		-493.839896		180.734747
2321		245749		-499.341663		189.408875
2331		254893		-490.874303		176.108108
2341		242442		-505.852200		209.988039
2351		263178		-482.829434		161.088048
2361		251552		-498.487082		193.078357
2371		257847		-492.256432		178.200759
2381		250950		-501.577488		194.593868
2391		253966		-498.942702		197.830197
2401		251808		-502.089130		198.987089
2411		266012		-486.979676		162.662796
2421		265642		-489.085502		171.819909
2431		265413		-489.773756		167.706294
2441		267732		-489.897583		171.787792
2451		275720		-482.838025		159.073847
2461		266864		-492.399837		177.562779
2471		279517		-480.310805		151.236746
2481		257990		-504.243450		198.861749
2491		250868		-513.915697		225.276596
2501		274345		-489.847261		181.207517
2511		267731		-498.934289		190.767822
2521		276202		-491.584292		170.383181
2531		262753		-505.692612		201.303832
2541		283574		-484.209366		158.527351
2551		274160		-494.985496		191.150921
2561		285333		-484.599766		168.816868
2571		276042		-495.341890		185.460132
2581		278642		-494.617590		179.965905
2591		278728		-495.266692		188.392127
2601		282253		-492.476740		181.334871
2611		286463		-490.786672		171.417082
2621		273761		-503.302556		197.525372
2631		285141		-494.060053		171.039909
2641		290202		-489.181371		170.278682
2651		297128		-483.802339		153.607695
2661		289267		-492.178880		181.876738
2671		289344		-492.548109		181.513291
2681		288564		-494.323014		185.065274
2691		307565		-477.083612		149.205500
2701		284595		-501.070715		194.213995
2711		300107		-487.120620		161.368499
2721		284723		-502.678427		205.107681
2731		301563		-487.856463		179.815452
2741		312679		-477.285662		155.706676
2751		294711		-495.879317		188.650672
2761		299562		-493.050344		182.357841
2771		296018		-497.151931		182.702995
2781		305267		-488.819849		169.236246
2791		301043		-494.648513		181.066284
2801		314188		-483.156016		154.774009
2811		302869		-495.141942		185.642832
2821		312338		-486.511166		162.621056
2831		308806		-491.112681		183.108442
2841		318541		-483.512848		154.213305
2851		290019		-511.433181		217.774114
2861		298830		-503.727368		203.326110
2871		299980		-504.104493		204.688262
2881		300056		-503.827838		195.763971
2891		284927		-518.354895		235.680387
2901		315231		-492.744571		167.373320
2911		323473		-485.747853		162.800412
2921		319910		-490.043136		167.031838
2931		326999		-485.187308		165.948823
2941		312240		-499.311799		185.659980
2951		329607		-484.054219		169.253135
2961		319530		-494.243837		177.773050
2971		311081		-503.447997		204.918883
2981		319342		-496.727273		181.078833
2991		331427		-486.944835		152.942828
3001		333246		-486.184605		166.355215
3011		333129		-487.221521		161.382929
3021		328068		-493.664350		180.028467
3031		342157		-480.857803		145.754536
3041		336228		-487.631700		167.615916
3051		325370		-498.216978		190.404458
