 x		y
1.100000		0.000000
1.099982		0.006283
1.099928		0.012566
1.099839		0.018849
1.099713		0.025131
1.099551		0.031412
1.099354		0.037692
1.099121		0.043971
1.098852		0.050248
1.098547		0.056524
1.098206		0.062798
1.097829		0.069070
1.097417		0.075340
1.096969		0.081607
1.096485		0.087871
1.095965		0.094133
1.095409		0.100392
1.094818		0.106647
1.094191		0.112899
1.093528		0.119147
1.092830		0.125391
1.092096		0.131631
1.091326		0.137867
1.090521		0.144099
1.089680		0.150325
1.088804		0.156547
1.087892		0.162764
1.086944		0.168975
1.085961		0.175181
1.084943		0.181381
1.083889		0.187575
1.082800		0.193764
1.081676		0.199945
1.080516		0.206121
1.079321		0.212289
1.078091		0.218451
1.076825		0.224605
1.075525		0.230752
1.074189		0.236892
1.072819		0.243024
1.071413		0.249148
1.069972		0.255264
1.068497		0.261371
1.066987		0.267470
1.065441		0.273560
1.063861		0.279642
1.062247		0.285714
1.060597		0.291777
1.058914		0.297830
1.057195		0.303874
1.055442		0.309907
1.053655		0.315931
1.051833		0.321944
1.049977		0.327947
1.048087		0.333939
1.046162		0.339921
1.044203		0.345891
1.042211		0.351849
1.040184		0.357797
1.038123		0.363733
1.036029		0.369656
1.033900		0.375568
1.031738		0.381468
1.029542		0.387355
1.027313		0.393229
1.025050		0.399091
1.022754		0.404939
1.020424		0.410775
1.018061		0.416596
1.015665		0.422405
1.013236		0.428199
1.010773		0.433980
1.008278		0.439746
1.005750		0.445499
1.003189		0.451236
1.000595		0.456959
0.997969		0.462667
0.995310		0.468360
0.992618		0.474037
0.989894		0.479699
0.987138		0.485346
0.984350		0.490976
0.981529		0.496591
0.978677		0.502189
0.975792		0.507771
0.972876		0.513337
0.969928		0.518885
0.966948		0.524417
0.963937		0.529932
0.960894		0.535429
0.957820		0.540909
0.954715		0.546371
0.951579		0.551816
0.948411		0.557242
0.945213		0.562650
0.941984		0.568040
0.938724		0.573412
0.935433		0.578764
0.932112		0.584098
0.928760		0.589413
0.925378		0.594708
0.921966		0.599984
0.918524		0.605241
0.915052		0.610477
0.911550		0.615694
0.908019		0.620891
0.904457		0.626067
0.900867		0.631223
0.897246		0.636359
0.893597		0.641473
0.889918		0.646567
0.886211		0.651640
0.882474		0.656691
0.878709		0.661721
0.874915		0.666730
0.871092		0.671716
0.867241		0.676681
0.863362		0.681624
0.859454		0.686544
0.855519		0.691442
0.851555		0.696317
0.847564		0.701170
0.843545		0.706000
0.839499		0.710807
0.835425		0.715590
0.831324		0.720351
0.827196		0.725087
0.823041		0.729800
0.818859		0.734490
0.814650		0.739155
0.810415		0.743796
0.806153		0.748413
0.801865		0.753006
