 x		y
1.100000		0.000000
1.099983		0.006283
1.099933		0.012566
1.099850		0.018849
1.099734		0.025131
1.099584		0.031412
1.099401		0.037692
1.099185		0.043972
1.098936		0.050250
1.098654		0.056526
1.098338		0.062801
1.097989		0.069073
1.097607		0.075344
1.097191		0.081612
1.096743		0.087878
1.096261		0.094141
1.095747		0.100402
1.095199		0.106659
1.094618		0.112913
1.094004		0.119164
1.093357		0.125411
1.092677		0.131655
1.091964		0.137894
1.091218		0.144129
1.090440		0.150360
1.089628		0.156587
1.088783		0.162808
1.087906		0.169025
1.086996		0.175236
1.086052		0.181443
1.085077		0.187644
1.084068		0.193839
1.083027		0.200028
1.081953		0.206212
1.080847		0.212389
1.079708		0.218559
1.078537		0.224724
1.077333		0.230881
1.076096		0.237031
1.074828		0.243175
1.073527		0.249311
1.072193		0.255439
1.070828		0.261560
1.069430		0.267673
1.068000		0.273778
1.066538		0.279874
1.065044		0.285963
1.063518		0.292042
1.061961		0.298113
1.060371		0.304175
1.058749		0.310228
1.057096		0.316272
1.055411		0.322306
1.053695		0.328330
1.051947		0.334345
1.050167		0.340349
1.048356		0.346344
1.046513		0.352328
1.044640		0.358301
1.042735		0.364264
1.040799		0.370216
1.038832		0.376157
1.036833		0.382087
1.034804		0.388005
1.032744		0.393911
1.030653		0.399806
1.028532		0.405689
1.026379		0.411560
1.024197		0.417419
1.021983		0.423265
1.019740		0.429098
1.017466		0.434919
1.015161		0.440727
1.012827		0.446522
1.010462		0.452303
1.008068		0.458071
1.005643		0.463826
1.003189		0.469567
1.000705		0.475294
0.998191		0.481006
0.995648		0.486705
0.993075		0.492389
0.990473		0.498058
0.987841		0.503713
0.985181		0.509353
0.982491		0.514978
0.979772		0.520587
0.977025		0.526182
0.974248		0.531760
0.971443		0.537323
0.968609		0.542871
0.965747		0.548402
0.962856		0.553917
0.959937		0.559416
0.956989		0.564898
0.954014		0.570364
0.951010		0.575813
0.947979		0.581245
0.944920		0.586660
0.941833		0.592058
0.938719		0.597438
0.935577		0.602802
0.932407		0.608147
0.929211		0.613475
0.925987		0.618784
0.922736		0.624076
0.919459		0.629349
0.916154		0.634604
0.912823		0.639841
0.909465		0.645059
0.906081		0.650258
0.902670		0.655438
0.899233		0.660599
0.895770		0.665741
0.892281		0.670864
0.888766		0.675967
0.885226		0.681051
0.881660		0.686115
0.878068		0.691159
0.874451		0.696183
0.870808		0.701187
0.867140		0.706171
0.863448		0.711134
0.859730		0.716077
0.855988		0.720999
0.852221		0.725900
0.848429		0.730780
0.844613		0.735640
0.840773		0.740478
0.836909		0.745295
0.833020		0.750091
0.829108		0.754865
0.825172		0.759618
0.821213		0.764348
0.817229		0.769057
0.813223		0.773744
0.809193		0.778409
0.805140		0.783051
0.801065		0.787672
0.796966		0.792270
0.792845		0.796845
0.788701		0.801397
0.784534		0.805927
0.780346		0.810434
0.776135		0.814918
0.771902		0.819379
0.767648		0.823816
0.763371		0.828230
0.759073		0.832621
0.754754		0.836989
0.750413		0.841332
0.746051		0.845652
0.741669		0.849948
0.737265		0.854220
0.732840		0.858468
0.728395		0.862692
0.723929		0.866892
0.719443		0.871067
