 x		y
1.000000		0.000000
0.999980		0.006283
0.999724		0.012565
0.999230		0.018844
0.998500		0.025118
0.997534		0.031386
0.996331		0.037647
0.994892		0.043899
0.993217		0.050141
0.991307		0.056370
0.989163		0.062587
0.986784		0.068788
0.984171		0.074973
0.981325		0.081141
0.978247		0.087289
0.974937		0.093417
0.971396		0.099522
0.967625		0.105604
0.963625		0.111661
0.959397		0.117691
0.954941		0.123694
0.950259		0.129667
0.945352		0.135609
0.940221		0.141520
0.934867		0.147396
0.929292		0.153238
0.923497		0.159044
0.917483		0.164812
0.911252		0.170541
0.904805		0.176229
0.898143		0.181876
0.891269		0.187480
0.884184		0.193039
0.876889		0.198553
0.869387		0.204019
0.861678		0.209438
0.853766		0.214806
0.845651		0.220124
0.837336		0.225390
0.828823		0.230602
0.820113		0.235759
0.811209		0.240861
0.802113		0.245906
0.792827		0.250892
0.783353		0.255819
0.773694		0.260686
0.763851		0.265490
0.753827		0.270232
0.743625		0.274910
0.733247		0.279522
0.722695		0.284069
0.711971		0.288548
0.701080		0.292959
0.690022		0.297300
0.678800		0.301571
0.667418		0.305771
0.655878		0.309898
0.644182		0.313952
0.632334		0.317931
0.620336		0.321835
0.608191		0.325663
0.595902		0.329413
0.583472		0.333086
0.570904		0.336680
0.558200		0.340194
0.545364		0.343627
0.532399		0.346979
0.519308		0.350249
0.506094		0.353436
0.492760		0.356539
0.479310		0.359558
0.465745		0.362491
0.452071		0.365339
0.438289		0.368100
0.424404		0.370774
0.410418		0.373360
0.396335		0.375858
0.382158		0.378266
0.367890		0.380585
0.353535		0.382814
0.339097		0.384952
0.324578		0.386999
0.309982		0.388955
0.295313		0.390818
0.280574		0.392589
0.265769		0.394266
0.250900		0.395851
0.235972		0.397341
0.220988		0.398738
0.205952		0.400039
0.190867		0.401247
0.175737		0.402359
0.160565		0.403376
0.145356		0.404297
0.130111		0.405122
0.114836		0.405852
0.099534		0.406485
0.084208		0.407022
0.068863		0.407463
0.053500		0.407807
0.038126		0.408055
0.022742		0.408206
0.007353		0.408260
-0.008038		0.408218
-0.023427		0.408079
-0.038811		0.407843
-0.054185		0.407510
-0.069546		0.407081
-0.084891		0.406556
-0.100216		0.405934
-0.115517		0.405217
-0.130791		0.404403
-0.146034		0.403493
-0.161242		0.402488
-0.176412		0.401388
-0.191540		0.400192
-0.206623		0.398902
-0.221657		0.397517
-0.236638		0.396038
-0.251564		0.394465
-0.266429		0.392799
