 x		y
1.000000		0.000000
0.996131		0.118752
0.984628		0.236594
0.965787		0.352673
0.940071		0.466242
0.908060		0.576688
0.870404		0.683549
0.827779		0.786508
0.780852		0.885380
0.730253		0.980087
0.676559		1.070641
0.620287		1.157117
0.561895		1.239636
0.501779		1.318351
0.440279		1.393431
0.377687		1.465056
0.314252		1.533408
0.250182		1.598667
0.185656		1.661005
0.120822		1.720591
0.055805		1.777582
-0.009288		1.832128
-0.074369		1.884369
-0.139365		1.934435
-0.204212		1.982450
-0.268861		2.028527
-0.333266		2.072772
-0.397392		2.115284
-0.461211		2.156154
-0.524696		2.195468
-0.587828		2.233305
-0.650591		2.269738
-0.712972		2.304838
-0.774960		2.338667
-0.836546		2.371287
-0.897726		2.402752
-0.958494		2.433116
-1.018847		2.462426
-1.078784		2.490730
-1.138303		2.518071
-1.197405		2.544488
-1.256090		2.570019
-1.314360		2.594702
-1.372217		2.618568
-1.429663		2.641650
-1.486701		2.663978
-1.543333		2.685579
-1.599564		2.706482
-1.655396		2.726710
-1.710833		2.746289
-1.765880		2.765240
-1.820540		2.783585
-1.874817		2.801345
-1.928716		2.818539
-1.982239		2.835186
-2.035393		2.851302
-2.088180		2.866906
-2.140604		2.882012
-2.192671		2.896637
-2.244384		2.910794
-2.295747		2.924497
-2.346765		2.937760
-2.397441		2.950595
-2.447779		2.963015
-2.497784		2.975031
-2.547459		2.986655
-2.596808		2.997896
-2.645835		3.008765
-2.694544		3.019273
-2.742938		3.029428
-2.791022		3.039239
-2.838797		3.048716
-2.886269		3.057867
-2.933441		3.066699
-2.980316		3.075221
-3.026897		3.083440
-3.073187		3.091363
-3.119191		3.098997
-3.164910		3.106349
-3.210349		3.113425
-3.255510		3.120233
-3.300397		3.126777
-3.345011		3.133063
-3.389357		3.139098
-3.433437		3.144886
-3.477253		3.150433
-3.520809		3.155744
-3.564108		3.160824
-3.607151		3.165678
-3.649942		3.170310
-3.692482		3.174726
-3.734776		3.178928
-3.776824		3.182922
-3.818630		3.186712
-3.860196		3.190301
