 x		y
1.000000		0.000000
0.996131		0.092363
0.984564		0.184012
0.965415		0.274244
0.938876		0.362377
0.905210		0.447759
0.864743		0.529777
0.817861		0.607864
0.764998		0.681507
0.706631		0.750246
0.643269		0.813682
0.575447		0.871476
0.503716		0.923350
0.428635		0.969084
0.350766		1.008515
0.270668		1.041536
0.188889		1.068091
0.105966		1.088169
0.022414		1.101804
-0.061267		1.109069
-0.144602		1.110073
-0.227139		1.104953
-0.308452		1.093877
-0.388140		1.077036
-0.465825		1.054641
-0.541159		1.026921
-0.613816		0.994120
-0.683494		0.956496
-0.749917		0.914317
-0.812832		0.867860
-0.872005		0.817408
-0.927226		0.763252
-0.978305		0.705686
-1.025072		0.645009
-1.067373		0.581523
-1.105076		0.515531
-1.138063		0.447339
-1.166234		0.377254
-1.189504		0.305585
-1.207806		0.232638
-1.221085		0.158724
-1.229304		0.084153
-1.232439		0.009233
-1.230479		-0.065725
-1.223431		-0.140411
-1.211314		-0.214515
-1.194161		-0.287728
-1.172023		-0.359739
-1.144964		-0.430240
-1.113063		-0.498921
-1.076416		-0.565475
-1.035136		-0.629595
-0.989353		-0.690976
-0.939213		-0.749315
-0.884883		-0.804310
-0.826549		-0.855666
-0.764416		-0.903090
-0.698713		-0.946295
-0.629687		-0.985001
-0.557612		-1.018938
-0.482784		-1.047842
-0.405524		-1.071468
-0.326176		-1.089579
-0.245114		-1.101960
-0.162732		-1.108414
-0.079455		-1.108768
0.004269		-1.102877
0.087969		-1.090623
0.171149		-1.071928
0.253294		-1.046748
0.333869		-1.015084
0.412328		-0.976982
0.488111		-0.932541
0.560655		-0.881912
0.629398		-0.825304
0.693785		-0.762984
0.753277		-0.695282
0.807359		-0.622585
0.855545		-0.545342
0.897393		-0.464059
0.932506		-0.379293
0.960547		-0.291651
0.981241		-0.201777
0.994382		-0.110351
0.999841		-0.018072
0.997562		0.074347
0.987573		0.166191
0.969975		0.256754
0.944947		0.345351
0.912740		0.431324
0.873668		0.514053
0.828105		0.592963
0.776478		0.667531
0.719255		0.737288
0.656938		0.801824
0.590058		0.860789
0.519161		0.913895
0.444805		0.960910
0.367549		1.001663
0.287952		1.036035
0.206563		1.063959
0.123918		1.085417
0.040538		1.100433
-0.043077		1.109072
-0.126448		1.111435
-0.209120		1.107654
-0.290663		1.097889
-0.370670		1.082324
-0.448761		1.061167
-0.524582		1.034640
-0.597803		1.002985
-0.668118		0.966455
-0.735246		0.925314
-0.798927		0.879836
-0.858925		0.830302
-0.915026		0.777000
-0.967033		0.720222
-1.014771		0.660265
-1.058085		0.597428
-1.096835		0.532016
-1.130900		0.464330
-1.160176		0.394679
-1.184574		0.323368
-1.204022		0.250705
-1.218461		0.177000
-1.227848		0.102560
-1.232157		0.027697
-1.231373		-0.047281
-1.225497		-0.122063
-1.214544		-0.196340
-1.198545		-0.269801
-1.177545		-0.342136
-1.151603		-0.413035
-1.120795		-0.482189
-1.085212		-0.549289
-1.044962		-0.614027
-1.000172		-0.676096
-0.950982		-0.735192
-0.897556		-0.791013
-0.840074		-0.843259
-0.778738		-0.891636
-0.713770		-0.935855
-0.645414		-0.975632
-0.573939		-1.010693
-0.499635		-1.040774
-0.422818		-1.065621
-0.343831		-1.084995
-0.263039		-1.098676
-0.180835		-1.106460
-0.097638		-1.108169
-0.013893		-1.103650
0.069932		-1.092780
0.153346		-1.075470
0.235833		-1.051668
0.316863		-1.021367
0.395889		-0.984604
0.472351		-0.941466
0.545685		-0.892094
0.615328		-0.836686
0.680720		-0.775500
0.741319		-0.708852
0.796602		-0.637121
0.846077		-0.560745
0.889291		-0.480219
0.925840		-0.396095
0.955374		-0.308969
0.977606		-0.219482
0.992316		-0.128306
0.999362		-0.036139
0.998675		0.056308
0.990267		0.148319
0.974227		0.239187
0.950719		0.328222
0.919981		0.414761
0.882316		0.498176
0.838088		0.577887
0.787713		0.653358
0.731652		0.724114
0.670401		0.789732
0.604484		0.849854
0.534443		0.904179
0.460833		0.952465
0.384213		0.994530
0.305140		1.030245
0.224163		1.059533
0.141821		1.082368
0.058635		1.098763
-0.024891		1.108777
-0.108276		1.112502
-0.191061		1.110062
-0.272812		1.101612
-0.353119		1.087331
-0.431596		1.067419
-0.507886		1.042095
-0.581654		1.011596
-0.652589		0.976170
-0.720404		0.936079
-0.784838		0.891593
-0.845648		0.842990
-0.902614		0.790556
-0.955537		0.734580
-1.004237		0.675358
-1.048553		0.613188
-1.088342		0.548371
-1.123478		0.481209
-1.153853		0.412007
-1.179373		0.341073
-1.199962		0.268712
-1.215557		0.195232
-1.226112		0.120944
-1.231594		0.046154
-1.231985		-0.028825
-1.227282		-0.103686
-1.217497		-0.178117
-1.202655		-0.251809
-1.182796		-0.324450
-1.157977		-0.395731
-1.128268		-0.465340
-1.093757		-0.532969
-1.054548		-0.598308
-1.010760		-0.661050
-0.962532		-0.720888
-0.910022		-0.777519
-0.853406		-0.830641
-0.792880		-0.879958
-0.728662		-0.925178
-0.660992		-0.966015
-0.590133		-1.002190
-0.516371		-1.033437
-0.440018		-1.059497
-0.361410		-1.080128
-0.280910		-1.095102
-0.198905		-1.104212
-0.115810		-1.107273
-0.032066		-1.104125
0.051862		-1.094638
0.135485		-1.078715
0.218292		-1.056296
0.299753		-1.027365
0.379322		-0.991947
0.456441		-0.950122
0.530544		-0.902019
0.601064		-0.847826
0.667442		-0.787788
0.729127		-0.722213
0.785593		-0.651467
0.836340		-0.575980
0.880908		-0.496236
0.918881		-0.412777
