 x		y
1.000000		0.000000
0.996131		0.109956
0.984605		0.219066
0.965654		0.326525
0.939650		0.431598
0.907070		0.533651
0.868467		0.632162
0.824444		0.726725
0.775614		0.817053
0.722587		0.902959
0.665945		0.984348
0.606233		1.061199
0.543952		1.133552
0.479553		1.201492
0.413440		1.265138
0.345970		1.324632
0.277457		1.380132
0.208175		1.431804
0.138360		1.479818
0.068220		1.524344
-0.002069		1.565551
-0.072354		1.603600
-0.142504		1.638650
-0.212405		1.670850
-0.281963		1.700344
-0.351095		1.727269
-0.419730		1.751753
-0.487810		1.773918
-0.555284		1.793879
-0.622109		1.811744
-0.688249		1.827614
-0.753674		1.841585
-0.818358		1.853748
-0.882282		1.864187
-0.945428		1.872982
-1.007781		1.880207
-1.069331		1.885934
-1.130070		1.890229
-1.189989		1.893154
-1.249085		1.894770
-1.307354		1.895131
-1.364794		1.894290
-1.421405		1.892297
-1.477186		1.889200
-1.532138		1.885044
-1.586262		1.879869
-1.639563		1.873717
-1.692041		1.866626
-1.743700		1.858632
-1.794544		1.849768
-1.844577		1.840069
-1.893804		1.829564
-1.942227		1.818285
-1.989853		1.806258
-2.036685		1.793511
-2.082728		1.780069
-2.127989		1.765958
-2.172470		1.751201
-2.216178		1.735820
-2.259117		1.719837
-2.301292		1.703272
-2.342708		1.686146
-2.383371		1.668477
-2.423285		1.650284
-2.462455		1.631585
-2.500885		1.612395
-2.538581		1.592732
-2.575548		1.572612
-2.611789		1.552048
-2.647309		1.531056
-2.682113		1.509650
-2.716206		1.487843
-2.749591		1.465649
-2.782272		1.443080
-2.814254		1.420148
-2.845542		1.396865
-2.876137		1.373243
-2.906046		1.349293
-2.935271		1.325025
-2.963815		1.300451
-2.991684		1.275579
-3.018879		1.250421
-3.045405		1.224985
-3.071265		1.199281
-3.096461		1.173319
-3.120998		1.147106
-3.144878		1.120652
-3.168104		1.093965
-3.190679		1.067053
-3.212605		1.039925
-3.233886		1.012587
-3.254524		0.985048
-3.274521		0.957315
-3.293880		0.929395
-3.312604		0.901297
-3.330694		0.873025
-3.348152		0.844589
-3.364982		0.815993
-3.381184		0.787246
-3.396761		0.758353
-3.411714		0.729320
-3.426046		0.700155
-3.439757		0.670863
-3.452851		0.641451
-3.465327		0.611924
-3.477189		0.582288
-3.488436		0.552549
-3.499070		0.522714
-3.509094		0.492787
-3.518506		0.462774
-3.527310		0.432681
-3.535506		0.402514
-3.543094		0.372277
-3.550076		0.341977
-3.556453		0.311619
-3.562225		0.281207
-3.567393		0.250748
-3.571957		0.220246
-3.575918		0.189708
-3.579277		0.159137
-3.582033		0.128539
-3.584187		0.097920
-3.585740		0.067284
-3.586692		0.036638
-3.587042		0.005985
-3.586790		-0.024669
-3.585937		-0.055319
-3.584483		-0.085960
-3.582427		-0.116586
-3.579769		-0.147193
-3.576509		-0.177775
-3.572646		-0.208326
-3.568179		-0.238843
-3.563110		-0.269319
-3.557436		-0.299750
-3.551156		-0.330130
-3.544272		-0.360453
-3.536780		-0.390715
-3.528681		-0.420909
-3.519974		-0.451031
-3.510658		-0.481075
-3.500731		-0.511035
-3.490192		-0.540906
-3.479040		-0.570682
-3.467274		-0.600357
-3.454892		-0.629926
-3.441892		-0.659382
-3.428274		-0.688719
-3.414036		-0.717932
-3.399175		-0.747014
-3.383691		-0.775959
-3.367581		-0.804760
-3.350843		-0.833411
-3.333475		-0.861906
-3.315475		-0.890237
-3.296841		-0.918398
-3.277571		-0.946382
-3.257662		-0.974181
-3.237111		-1.001789
-3.215917		-1.029197
-3.194077		-1.056399
-3.171587		-1.083385
-3.148446		-1.110149
-3.124650		-1.136683
-3.100196		-1.162977
-3.075081		-1.189023
-3.049303		-1.214812
-3.022857		-1.240336
-2.995740		-1.265584
-2.967950		-1.290548
-2.939482		-1.315217
-2.910333		-1.339581
-2.880500		-1.363630
-2.849978		-1.387354
-2.818763		-1.410740
-2.786852		-1.433777
-2.754240		-1.456455
-2.720924		-1.478759
-2.686899		-1.500678
-2.652160		-1.522199
-2.616704		-1.543308
-2.580526		-1.563991
-2.543621		-1.584234
-2.505984		-1.604021
-2.467612		-1.623337
-2.428498		-1.642165
-2.388639		-1.660489
-2.348029		-1.678292
-2.306663		-1.695554
-2.264536		-1.712257
-2.221644		-1.728380
-2.177981		-1.743905
-2.133542		-1.758807
-2.088322		-1.773067
-2.042316		-1.786658
-1.995519		-1.799558
-1.947926		-1.811740
-1.899533		-1.823178
-1.850334		-1.833843
-1.800325		-1.843705
-1.749503		-1.852733
-1.697862		-1.860895
-1.645400		-1.868156
-1.592112		-1.874480
-1.537996		-1.879830
-1.483049		-1.884163
-1.427270		-1.887440
-1.370658		-1.889614
-1.313212		-1.890639
-1.254933		-1.890465
-1.195822		-1.889038
-1.135884		-1.886303
-1.075123		-1.882202
-1.013544		-1.876670
-0.951157		-1.869642
-0.887973		-1.861046
-0.824006		-1.850808
-0.759271		-1.838848
-0.693790		-1.825080
-0.627589		-1.809416
-0.560695		-1.791758
-0.493147		-1.772005
-0.424985		-1.750049
-0.356260		-1.725774
-0.287031		-1.699059
-0.217368		-1.669775
-0.147353		-1.637784
-0.077081		-1.602943
-0.006665		-1.565101
0.063764		-1.524101
0.134054		-1.479778
0.204028		-1.431964
0.273481		-1.380489
0.342174		-1.325181
0.409834		-1.265874
0.476149		-1.202409
0.540760		-1.134642
0.603263		-1.062454
0.663207		-0.985758
0.720092		-0.904514
0.773371		-0.818741
0.822460		-0.728534
0.866752		-0.634076
0.905629		-0.535657
0.938491		-0.433680
0.964780		-0.328667
0.984019		-0.221251
0.995837		-0.112167
0.999998		-0.002220
0.996421		0.107744
0.985186		0.216880
0.966525		0.324381
0.940806		0.429513
0.908506		0.531641
0.870179		0.630242
0.826423		0.724911
0.777854		0.815358
0.725079		0.901396
0.668680		0.982929
0.609201		1.059935
0.547142		1.132452
0.482956		1.200565
0.417045		1.264391
0.349766		1.324072
0.281434		1.379763
0.212322		1.431631
0.142668		1.479845
0.072678		1.524575
0.002530		1.565987
-0.067623		1.604243
-0.137650		1.639501
-0.207438		1.671910
-0.276890		1.701614
-0.345924		1.728748
-0.414469		1.753442
-0.482466		1.775815
-0.549864		1.795984
-0.616620		1.814055
-0.682697		1.830131
-0.748066		1.844306
-0.812701		1.856671
-0.876580		1.867311
-0.939686		1.876305
-1.002006		1.883727
-1.063527		1.889649
-1.124241		1.894137
-1.184142		1.897253
-1.243223		1.899057
-1.301481		1.899604
-1.358915		1.898947
-1.415523		1.897137
-1.471305		1.894219
-1.526261		1.890240
-1.580395		1.885240
-1.633707		1.879260
-1.686200		1.872339
-1.737877		1.864512
-1.788743		1.855814
-1.838800		1.846277
-1.888053		1.835933
-1.936506		1.824811
-1.984164		1.812939
-2.031031		1.800345
-2.077112		1.787054
-2.122411		1.773091
-2.166935		1.758479
-2.210686		1.743242
-2.253672		1.727399
-2.295895		1.710973
-2.337362		1.693983
-2.378077		1.676449
-2.418045		1.658387
-2.457270		1.639816
-2.495758		1.620754
-2.533514		1.601215
-2.570541		1.581216
-2.606844		1.560772
-2.642428		1.539898
-2.677298		1.518606
-2.711457		1.496912
-2.744910		1.474829
-2.777661		1.452368
-2.809714		1.429542
-2.841074		1.406363
-2.871743		1.382842
-2.901726		1.358991
-2.931026		1.334820
-2.959647		1.310340
-2.987594		1.285561
-3.014868		1.260493
-3.041473		1.235146
-3.067414		1.209528
-3.092692		1.183649
-3.117311		1.157518
-3.141275		1.131144
-3.164585		1.104534
-3.187245		1.077697
-3.209257		1.050641
-3.230625		1.023375
-3.251350		0.995904
-3.271435		0.968238
-3.290883		0.940383
-3.309696		0.912347
-3.327875		0.884136
-3.345425		0.855757
-3.362345		0.827218
-3.378639		0.798525
-3.394308		0.769684
-3.409354		0.740701
-3.423779		0.711584
-3.437584		0.682338
-3.450771		0.652969
-3.463342		0.623484
-3.475299		0.593888
-3.486641		0.564187
-3.497371		0.534387
-3.507490		0.504493
-3.516999		0.474512
-3.525900		0.444449
-3.534192		0.414309
-3.541877		0.384098
-3.548957		0.353821
-3.555431		0.323484
-3.561300		0.293092
-3.566566		0.262650
-3.571228		0.232164
-3.575287		0.201639
-3.578744		0.171079
-3.581599		0.140491
-3.583852		0.109879
-3.585503		0.079249
-3.586553		0.048605
-3.587002		0.017954
-3.586849		-0.012701
-3.586095		-0.043354
-3.584739		-0.073999
-3.582781		-0.104632
-3.580221		-0.135247
-3.577059		-0.165840
-3.573295		-0.196404
-3.568927		-0.226936
-3.563955		-0.257429
-3.558378		-0.287878
