 x		y
0.715939		0.698171
0.711539		0.702656
0.707110		0.707112
0.702653		0.711541
0.698168		0.715942
0.693656		0.720315
0.689117		0.724659
0.684550		0.728975
0.679957		0.733261
0.675336		0.737519
0.670689		0.741748
0.666015		0.745947
0.661315		0.750117
0.656589		0.754258
0.651837		0.758368
0.647060		0.762449
0.642256		0.766500
0.637428		0.770520
0.632574		0.774510
0.627695		0.778469
0.622792		0.782398
0.617864		0.786295
0.612911		0.790162
0.607935		0.793997
0.602934		0.797802
0.597909		0.801574
0.592861		0.805315
0.587790		0.809024
0.582695		0.812702
0.577577		0.816347
0.572437		0.819960
0.567274		0.823540
0.562088		0.827088
0.556881		0.830604
0.551651		0.834086
0.546399		0.837536
0.541126		0.840953
0.535832		0.844336
0.530517		0.847686
0.525180		0.851003
0.519823		0.854286
0.514445		0.857535
0.509047		0.860751
0.503629		0.863932
0.498191		0.867079
0.492733		0.870193
0.487256		0.873271
0.481760		0.876316
0.476244		0.879325
0.470710		0.882300
0.465157		0.885241
0.459586		0.888146
0.453997		0.891016
0.448390		0.893851
0.442765		0.896651
0.437122		0.899415
0.431463		0.902144
0.425786		0.904837
0.420093		0.907495
0.414383		0.910116
0.408656		0.912702
0.402914		0.915252
0.397155		0.917765
0.391381		0.920242
0.385591		0.922683
0.379787		0.925088
0.373967		0.927456
0.368132		0.929788
0.362283		0.932082
0.356420		0.934340
0.350542		0.936561
0.344651		0.938745
0.338746		0.940892
0.332828		0.943002
0.326896		0.945075
0.320952		0.947110
0.314995		0.949108
0.309026		0.951069
0.303044		0.952992
0.297050		0.954877
0.291045		0.956725
0.285028		0.958535
0.279000		0.960307
0.272961		0.962041
0.266911		0.963737
0.260851		0.965395
0.254780		0.967015
0.248700		0.968597
0.242609		0.970140
0.236509		0.971646
0.230399		0.973113
0.224281		0.974541
0.218153		0.975931
0.212017		0.977283
0.205873		0.978596
0.199720		0.979870
0.193560		0.981106
0.187392		0.982302
0.181216		0.983461
0.175034		0.984580
0.168844		0.985660
0.162648		0.986702
0.156446		0.987704
0.150237		0.988668
0.144022		0.989593
0.137802		0.990478
0.131576		0.991324
0.125345		0.992132
0.119109		0.992900
0.112868		0.993629
0.106623		0.994318
0.100374		0.994969
0.094120		0.995580
0.087863		0.996152
0.081603		0.996684
0.075339		0.997177
0.069072		0.997631
0.062803		0.998046
0.056531		0.998421
0.050257		0.998756
0.043981		0.999052
0.037703		0.999309
0.031424		0.999526
0.025143		0.999704
0.018862		0.999843
0.012579		0.999941
0.006296		1.000001
0.000013		1.000021
-0.006270		1.000001
-0.012552		0.999942
-0.018835		0.999844
-0.025116		0.999706
-0.031397		0.999529
-0.037676		0.999312
-0.043954		0.999055
-0.050230		0.998760
-0.056504		0.998424
-0.062776		0.998050
-0.069046		0.997636
-0.075312		0.997182
-0.081576		0.996690
-0.087837		0.996158
-0.094094		0.995586
-0.100347		0.994976
-0.106596		0.994326
-0.112841		0.993636
-0.119082		0.992908
-0.125318		0.992140
-0.131549		0.991333
-0.137775		0.990487
-0.143995		0.989602
-0.150210		0.988678
-0.156419		0.987715
-0.162622		0.986713
-0.168818		0.985672
-0.175007		0.984592
-0.181190		0.983473
-0.187366		0.982315
-0.193534		0.981119
-0.199694		0.979884
-0.205847		0.978610
-0.211991		0.977297
-0.218127		0.975946
-0.224255		0.974557
-0.230373		0.973129
-0.236483		0.971662
-0.242583		0.970157
-0.248674		0.968614
-0.254754		0.967033
-0.260825		0.965413
-0.266885		0.963756
-0.272935		0.962060
-0.278975		0.960326
-0.285003		0.958555
-0.291020		0.956745
-0.297025		0.954898
-0.303019		0.953013
-0.309000		0.951091
-0.314970		0.949131
-0.320927		0.947133
-0.326871		0.945098
-0.332803		0.943026
-0.338721		0.940917
-0.344626		0.938770
-0.350517		0.936586
-0.356395		0.934366
-0.362258		0.932108
-0.368108		0.929814
-0.373942		0.927483
-0.379762		0.925115
-0.385567		0.922711
-0.391357		0.920271
-0.397131		0.917794
-0.402889		0.915281
-0.408632		0.912731
-0.414359		0.910146
-0.420069		0.907525
-0.425762		0.904868
-0.431439		0.902175
-0.437099		0.899447
-0.442741		0.896683
-0.448366		0.893884
-0.453974		0.891049
-0.459563		0.888180
-0.465134		0.885275
-0.470687		0.882335
-0.476221		0.879360
-0.481737		0.876351
-0.487233		0.873307
-0.492711		0.870229
-0.498168		0.867116
-0.503606		0.863969
-0.509025		0.860788
-0.514423		0.857573
-0.519801		0.854325
-0.525158		0.851042
-0.530495		0.847726
-0.535810		0.844376
-0.541105		0.840993
-0.546378		0.837577
-0.551630		0.834128
-0.556859		0.830646
-0.562067		0.827131
-0.567253		0.823583
-0.572416		0.820003
-0.577557		0.816391
-0.582675		0.812746
-0.587770		0.809069
-0.592841		0.805361
-0.597889		0.801620
-0.602914		0.797848
-0.607915		0.794044
-0.612892		0.790209
-0.617844		0.786343
