				Result										
				MC brute	MC _improved									
n 	 a	  b	 exact_result	  MCbrute_resutlt		 realtive error	 sigma	 exe time_MC_bruteforce	 realtive error_imp_MC_uten jit	 sigma_imp MC uten jit	 exe time_MC_imp MC_uten jit	 realtive error_imp MC with jit	 sigma_imp MC with jit	 exe time_MC_imp MC _ with jit
100000	-5	5	0.19257	0.034806		0.819255	1.21E-09	1.173858	0.008068	0.054999	1.018276	0.00394	0.001363	0.465753
500000	-5	5	0.19257	0.104994		0.454776	1.10E-08	6.03315	0.003812	0.043947	5.086325	0.00114	0.000978	1.81215
1000000	-5	5	0.19257	0.083068		0.568637	6.90E-09	11.632929	0.007777	0.038472	10.56426	0.007986	0.001493	3.633324
5000000	-5	5	0.19257	0.195673		0.01611	3.83E-08	59.339541	0.000922	0.045483	51.738686	0.000129	0.001439	18.196394
10000000	-5	5	0.19257	0.148979		0.226367	2.22E-08	116.214675	0.004	0.051185	103.845157	0.003314	0.0001	37.911287
