n  spin_accpt	Ecalc	 Mabs_calc
2051	598	-798.864944	399.710385
2061	562	-799.081999	399.767103
2071	598	-798.819894	399.697731
2081	638	-798.633349	399.651129
2091	669	-798.674319	399.662363
2101	626	-798.861495	399.711566
2111	666	-798.700142	399.671246
2121	630	-798.889203	399.718058
2131	524	-799.183482	399.792586
2141	670	-798.852872	399.707613
2151	616	-798.966062	399.735937
2161	632	-798.880148	399.710319
2171	632	-798.95532	399.732842
2181	655	-798.807886	399.691884
2191	562	-799.005021	399.746235
2201	606	-798.915039	399.720127
2211	629	-799.032112	399.753957
2221	664	-798.786132	399.688429
2231	672	-798.816674	399.697893
2241	628	-798.91834	399.726015
2251	637	-798.951577	399.73434
2261	614	-798.917293	399.724016
2271	654	-798.818142	399.698811
2281	664	-798.812801	399.698378
2291	724	-798.894806	399.716281
2301	673	-798.944807	399.73229
2311	662	-798.833405	399.701428
2321	681	-798.88324	399.716502
2331	732	-798.833119	399.704848
2341	646	-798.870568	399.712089
2351	660	-798.94513	399.73288
2361	656	-798.900466	399.716222
2371	612	-798.970898	399.73682
2381	686	-799.028979	399.755565
2391	730	-798.730238	399.677123
2401	688	-798.917118	399.725115
2411	727	-798.783907	399.688926
2421	686	-798.87815	399.714168
2431	636	-798.961744	399.737557
2441	754	-798.866039	399.710774
2451	720	-798.854345	399.707874
2461	758	-798.826493	399.699309
2471	762	-798.601376	399.643869
2481	798	-798.781137	399.691254
2491	834	-798.688077	399.663589
2501	718	-798.832467	399.704118
2511	692	-798.878534	399.716448
2521	712	-798.97977	399.741372
2531	698	-799.007507	399.747136
2541	702	-798.90122	399.719008
2551	780	-798.791062	399.687966
2561	834	-798.753612	399.682155
2571	698	-798.822248	399.69895
2581	732	-799.018985	399.750484
2591	714	-798.90853	399.719799
2601	751	-798.720492	399.673203
2611	730	-798.869399	399.714286
2621	891	-798.682945	399.667303
2631	759	-798.926644	399.72786
2641	756	-798.901931	399.72056
2651	782	-798.749151	399.678612
2661	796	-798.768884	399.685832
2671	782	-798.782478	399.692999
2681	826	-798.751212	399.682954
2691	754	-798.886659	399.716091
2701	824	-798.769345	399.686042
2711	810	-798.736997	399.678347
2721	718	-798.920985	399.726571
2731	706	-798.977664	399.740754
2741	810	-798.819409	399.700109
2751	802	-798.937114	399.724464
2761	817	-798.793191	399.694314
