n 		 spin_accpt		Ecalc		 Mabs_calc
1921		1813		-796.707965		396.275898
1931		1631		-797.099948		397.566028
1941		2740		-794.528594		392.568779
1951		2563		-795.286520		393.564326
1961		2641		-795.120857		393.516573
1971		10781		-772.438356		322.189751
1981		2518		-795.580010		394.554266
1991		9459		-775.339026		340.567554
2001		2924		-794.342829		391.636182
2011		2375		-795.753357		394.707111
2021		3560		-793.292429		389.744681
2031		2056		-796.273757		396.095519
2041		1788		-796.846644		397.586477
2051		1489		-797.396392		398.265236
2061		7340		-782.103833		362.291121
2071		13720		-763.244809		304.755191
2081		2170		-796.324844		396.362326
2091		1863		-796.730751		396.412243
2101		1455		-797.515469		398.605426
2111		1269		-797.711037		398.951208
2121		2053		-796.567657		397.002357
2131		2530		-795.776631		394.815580
2141		10118		-775.409622		331.852405
2151		14784		-763.060902		292.015807
2161		2697		-795.581675		394.697825
2171		1412		-797.637955		398.569323
2181		9754		-776.816139		344.228336
2191		13495		-765.573711		302.597901
2201		19592		-750.567924		243.220354
2211		12104		-771.270918		316.874717
2221		7350		-783.605583		363.693832
2231		2368		-796.147019		395.907665
2241		2741		-795.373494		393.872378
2251		24245		-740.314527		227.263438
2261		5283		-788.677576		374.293675
2271		2674		-795.749890		394.915015
2281		1735		-797.341517		398.439281
2291		1915		-797.009166		397.806198
2301		2455		-795.793133		396.118209
2311		2604		-795.745565		394.662916
2321		1880		-797.196036		397.688927
2331		2836		-795.426855		393.601030
2341		2583		-796.158906		395.905169
2351		1941		-797.061676		398.180349
2361		1932		-796.908090		396.994494
2371		2444		-795.892029		394.885702
2381		4495		-790.446031		381.608568
2391		9877		-777.659557		331.537432
2401		2215		-796.554769		396.892961
2411		3371		-794.735794		392.641228
2421		6374		-786.812061		369.339942
2431		2488		-795.934183		393.923488
2441		2382		-796.140926		395.248669
2451		2557		-795.773154		394.435741
2461		2213		-796.601382		396.929703
2471		45784		-698.212869		65.943343
2481		1735		-797.480048		398.220073
2491		2244		-796.515456		397.080690
2501		10730		-777.695322		350.743703
2511		44632		-699.322979		101.448029
2521		2091		-796.847283		396.998017
2531		2306		-796.564204		396.579218
2541		2585		-796.129083		395.538764
2551		2092		-796.895335		397.400235
2561		1702		-797.461929		398.395158
2571		2689		-796.085570		396.235706
2581		2499		-796.305308		395.769082
2591		2492		-796.356619		395.820919
2601		6665		-786.932718		372.503652
2611		2275		-796.767522		396.504021
2621		2723		-796.196871		395.481114
2631		2508		-796.194603		395.049791
2641		22775		-751.595608		276.860280
2651		3014		-795.624293		394.329687
2661		2546		-796.375799		396.125517
2671		2143		-796.997379		396.968925
2681		1827		-797.466617		398.499814
2691		1938		-797.186176		398.079524
2701		7645		-786.221399		371.426138
2711		4559		-792.513464		384.967909
2721		2285		-796.814406		397.320103
2731		2594		-796.651776		396.391798
2741		1782		-797.557096		398.052536
2751		3208		-795.629226		394.162850
2761		2556		-796.425933		395.626947
2771		3932		-794.628654		391.575604
2781		28308		-744.506293		231.388709
2791		2161		-797.054819		397.073450
2801		2211		-797.118172		397.430203
2811		3126		-795.793668		394.379224
2821		3401		-795.274016		393.006735
2831		24341		-752.432356		262.594843
2841		13748		-774.138684		331.904963
2851		23489		-752.033672		265.271834
2861		2698		-796.429221		396.591402
2871		4991		-791.856496		384.601184
2881		1687		-797.791045		398.831656
2891		2544		-796.819094		397.003113
2901		2235		-797.101689		397.582902
2911		2457		-796.691171		396.304363
2921		2430		-796.912016		396.573776
2931		2438		-797.090413		397.102695
2941		2245		-796.976539		396.883373
2951		2307		-797.177906		397.187394
2961		3175		-795.902736		395.519757
2971		2046		-797.476944		398.354763
2981		9324		-783.549145		364.575646
2991		2070		-797.233032		398.146439
3001		3012		-796.269244		395.067644
3011		9875		-783.185653		354.719362
3021		3649		-795.357829		392.898378
3031		31605		-740.302210		218.458595
3041		2255		-797.291680		398.099309
3051		2391		-797.227139		397.381186
3061		1693		-797.862137		398.676903
3071		2372		-796.978183		397.148160
3081		1965		-797.690360		398.545278
3091		1830		-797.877709		398.974442
3101		3225		-795.910996		395.410513
3111		9910		-783.727419		354.247509
3121		1792		-798.016021		398.936879
3131		3317		-795.817311		394.843820
3141		12083		-780.762814		348.418975
3151		2096		-797.350682		397.819740
3161		2970		-796.445429		395.279342
3171		2131		-797.549038		397.757805
3181		2435		-797.144294		396.684062
3191		2608		-796.923848		397.015356
3201		2228		-797.560762		398.386754
3211		2834		-796.716288		396.369978
3221		2206		-797.481527		397.767153
3231		2465		-797.228103		397.329619
3241		1957		-797.909287		398.428880
3251		2905		-796.060289		395.228545
3261		2377		-797.177553		397.629561
3271		1647		-798.303883		399.177622
3281		1575		-798.263944		399.236208
3291		3307		-796.064418		394.588271
3301		2040		-797.615268		398.413208
3311		11700		-786.938085		375.293265
3321		2332		-797.350196		397.967480
3331		7978		-788.432303		374.671270
3341		2357		-797.569590		398.219096
3351		1815		-798.053118		398.784244
3361		48436		-720.819994		153.436477
3371		15733		-774.733907		330.905369
3381		2584		-797.207927		397.138716
3391		20794		-765.916839		297.469183
3401		2812		-796.943252		397.257865
3411		2520		-797.255937		397.014952
3421		2652		-797.135341		397.086232
3431		2076		-797.808219		398.119499
3441		2527		-797.224063		397.428073
3451		13688		-778.680962		340.553463
3461		1883		-797.893094		399.013580
3471		2710		-797.155863		397.583405
3481		2359		-797.460500		397.987935
3491		6819		-790.663993		378.178172
3501		2185		-797.692088		398.787775
3511		2169		-797.630305		398.296212
3521		26837		-755.286566		251.132065
3531		17054		-774.772019		329.210422
3541		12377		-781.362327		355.395086
3551		3882		-795.850183		393.992115
3561		19450		-771.369840		321.844987
3571		12409		-781.611873		345.145337
3581		8137		-789.161687		373.147724
3591		45902		-727.651351		160.294625
3601		2103		-797.825049		398.543738
3611		15593		-776.003323		338.230961
3621		2102		-797.851422		398.628003
3631		22699		-766.204351		305.228863
3641		23683		-763.115628		283.163966
3651		3239		-796.725281		395.588058
3661		8291		-788.868615		374.288992
3671		2363		-797.645328		398.171615
3681		2562		-797.277914		397.344200
3691		4581		-794.321322		390.109455
3701		22439		-766.157255		301.492570
3711		8150		-789.242792		371.426570
3721		11514		-784.407417		360.777748
3731		3672		-795.956044		394.395068
3741		4048		-795.950815		395.186848
3751		2258		-797.830978		398.525726
3761		2715		-797.361340		397.516086
3771		2683		-797.273933		397.243172
3781		53757		-721.701137		148.135414
3791		6951		-790.581905		376.010551
3801		21584		-768.287293		301.201263
3811		2370		-797.636316		398.212018
3821		3384		-796.534938		395.493326
3831		2794		-797.259201		397.217437
3841		2521		-797.583963		397.888571
3851		2975		-797.166450		396.865749
3861		28520		-758.047138		273.833204
3871		2497		-797.696719		398.121416
3881		4415		-794.876578		391.904664
3891		2509		-797.639681		398.163454
3901		2264		-797.886696		398.511151
3911		7079		-791.012017		378.832012
3921		9772		-787.008416		364.962510
3931		3666		-796.446706		395.160519
3941		3815		-796.199949		395.296118
3951		2277		-797.856745		398.161984
3961		4119		-795.287049		391.702095
3971		3403		-796.717200		396.167212
3981		3299		-797.058026		397.210249
3991		2529		-797.631671		397.975946
4001		2520		-797.513622		397.949513
4011		5930		-794.221890		390.136624
4021		2507		-797.662273		398.284009
4031		3396		-796.967502		396.472339
4041		1999		-798.186587		399.024004
4051		2287		-797.959022		398.867440
4061		2337		-797.649840		398.408766
4071		22315		-771.395726		318.975190
4081		20103		-773.543739		317.120804
4091		17643		-776.905402		336.021511
4101		16618		-777.589856		346.927091
4111		3166		-797.046947		396.902943
4121		13633		-781.951953		348.755157
4131		2685		-797.537642		397.394820
4141		2703		-797.422845		397.601546
4151		2409		-797.908938		398.503493
4161		2031		-798.167748		399.203076
4171		10776		-786.271877		358.559578
4181		2480		-797.876106		398.664434
4191		2240		-798.093057		398.904319
4201		2167		-798.037610		398.545584
4211		2063		-798.208502		399.134647
4221		2374		-797.898128		398.640133
4231		30878		-759.280548		277.495628
4241		2904		-797.404386		397.668003
4251		3468		-796.899553		396.764526
4261		12828		-784.933114		360.426191
4271		2981		-797.423554		397.645516
4281		14293		-782.636767		356.269096
4291		2353		-797.924959		398.819856
4301		3026		-797.322483		397.349454
4311		3416		-796.913013		396.233357
4321		9650		-788.844249		372.324925
4331		2535		-797.713230		398.189333
4341		3159		-797.257775		397.022345
4351		3364		-796.931280		396.134222
4361		2840		-797.611557		397.856455
4371		3973		-795.951499		393.596889
4381		51840		-734.023282		217.653960
4391		2911		-797.483033		397.646550
4401		3752		-796.781641		395.342422
4411		6364		-794.853775		391.931081
4421		3539		-796.775390		396.484506
4431		9652		-788.945159		367.806364
4441		3870		-796.321549		394.878181
4451		16969		-778.310492		341.172770
4461		3157		-797.208698		396.957184
4471		8593		-790.849474		377.165287
4481		2307		-798.074537		398.816782
4491		1921		-798.334447		399.410376
4501		8623		-790.234170		376.898023
4511		2436		-797.990689		398.755487
4521		2512		-798.056182		398.534837
4531		33658		-759.671596		274.427720
4541		11938		-786.680467		367.754680
4551		24824		-769.662052		317.687981
4561		12620		-785.820653		360.683622
4571		10309		-788.161015		369.745789
4581		3195		-797.364768		397.208906
4591		2727		-797.767807		398.283598
4601		2782		-797.711802		398.425994
4611		2474		-798.004771		398.663630
4621		3371		-797.233499		397.105821
4631		3081		-797.515871		398.019866
4641		29306		-764.840336		288.776988
4651		2397		-798.085573		398.899161
4661		18068		-779.148681		337.462347
4671		2779		-797.740955		398.160137
4681		4299		-795.975219		394.412732
4691		2794		-797.765082		398.316350
4701		3516		-797.103595		396.910019
4711		2573		-797.969009		398.866058
4721		3297		-797.266681		397.185342
4731		2798		-797.833016		398.141196
4741		2865		-797.778528		398.165366
4751		3291		-797.289834		397.139971
4761		2809		-797.666877		398.272632
4771		3242		-797.495703		397.044645
4781		2935		-797.780381		398.375235
4791		3581		-797.082864		396.750991
4801		68592		-721.155593		153.678817
4811		2324		-798.238204		399.133652
4821		2794		-797.779714		398.467123
4831		3106		-797.636928		398.033947
4841		21371		-776.325553		328.508573
4851		30506		-764.684395		290.752834
4861		3371		-797.348694		396.828225
4871		3203		-797.391090		397.568466
4881		3910		-796.912108		396.159803
4891		2785		-797.889184		398.382335
4901		2576		-797.936748		398.730871
4911		8997		-790.662594		375.903889
4921		3115		-797.641943		398.102825
4931		15921		-782.825390		350.433583
4941		2463		-798.150982		399.034608
4951		2783		-797.997980		398.508180
4961		19048		-779.970167		344.409192
4971		30460		-766.091330		295.641521
4981		2909		-797.898414		398.002811
4991		2305		-798.361050		399.186135
5001		3615		-797.158168		396.855829
5011		2449		-798.177609		399.148673
5021		3081		-797.642701		397.815973
5031		2431		-798.175313		399.113099
5041		2783		-797.893275		398.759373
5051		24214		-773.421501		322.178578
5061		23928		-773.761707		324.098004
5071		3787		-797.109840		396.546638
5081		4089		-796.363708		394.919898
5091		2321		-798.284816		399.210371
5101		20496		-778.709273		339.957655
5111		3512		-797.373508		396.787321
5121		4152		-796.568639		396.155829
